Decision	SAT	ACT	Subject_tests	GPA	Rank	Gender	Ethnicity	Income_Bracket	School_Type
Decision: Deferred	SAT I (breakdown): 760R 800M	ACT (breakdown): 30E 34S 34R 34M	SAT II: 760 Chem	GPA (out of 4.0): n/a	Top 10%				
Decision: DeferredObjective:	SAT I (breakdown): N/A	ACT (breakdown): 35 C (35 E, 33 M, 35 R, 36 S)	SAT II: 800 Math II, 740 Chemistry, 720 World History, 720 US History	GPA (out of 4.0): 4.0	N/A	F	South asian	Income Bracket: 150k+	Public
Decision: Accepted	SAT I (breakdown): 800 Math, 760 Reading, 6/6/6 Essay		SAT II: 780 Math II (sophomore year), 800 Physics, 800 Chemistry	GPA (out of 4.0): 4.0	Top 10%	Female	White	Income Bracket: Upper Middle Class	Public
Decision: Deferred	SAT I (breakdown): 1530 (740 EBRW 790 Math)		SAT II: 720 Chemistry, 720 Math I	GPA (out of 4.0): 4.0	Top 10%	Male	White	Income Bracket: >$150k	Public
Decision: Deferred	SAT I (breakdown): 1580 (Math 800, Reading 780)		SAT II: 800 Math, 800 Physics	GPA (out of 4.0): 4.0		Male	N	Income Bracket: Too much	Large, competitive, public
Decision: Deferred	SAT I (breakdown): 1520 (760 R/W, 760 Math)		SAT II: 760 Chem	GPA (out of 4.0): N/A (I think 3.7ish although school does not do this)	Top 10%	Male	Indian	Income Bracket:	Large Public School
Decision: Accepted	SAT I (breakdown): 1530 (Verbal: 760 Math: 770)		SAT II: Not submitted (but I took Math 1, Math 2, and Lit)	GPA (out of 4.0):	Top 10%	Female	Asian	Income Bracket: < 60k	Public
Decision: Accepted	SAT I (breakdown): 1550 (800M, 750E, 23 Essay)	ACT (breakdown): 35C (36S, 35M, 34R, 33E)	SAT II: 800 Math II, 800 Bio M, 730 Physics	GPA (out of 4.0): 4.0	Top 10%	Female	SE Asian (1st gen immigrant)	Income Bracket: Too much for financial aid but not enough to pay without major loans	public
Decision: Accepted	SAT I (breakdown): 1540 (770 both)		SAT II: 780 US History, 730 Lit	GPA: 4.0	Doesn't rank	Male	Mexican	Income Bracket: 200,000+	All boys Catholic
Decision : Deferred	SAT I (breakdown): 1530 (800 math, 730 EBRW)		SAT II: Maths 2 800 Physics 800	GPA (out of 4.0): 4.0	Top 10%	Male	Indian?	Income Bracket: ~10000$	Private Coed
Decision: Deferred	SAT I (breakdown): 1520 (R: 720, M: 800, Essay: 22)		SAT II: US history: 750, Math 2: 770	GPA (out of 4.0): 3.97	Top 10%	Female	Asian	Income Bracket: upper middle	large public
Decision: Accepted	SAT I (breakdown): 1570 (800 Math, 770 ERW)		SAT II: 800 Math II, 780 US History	GPA: 3.98	N/A	M	White		Private
Decision: Accepted	SAT I (breakdown): 1520 730 R/W and 790 Math	ACT (breakdown): 35	SAT II: 710 or 720 US History and 680 math 2 lmao	GPA (out of 4.0): 3.97	Top 10%	female	hispanic and central/east asian	Income Bracket: sub 60 k	public, 2500+ kids
Decision: Deferred	SAT I (breakdown): 1550 (780M, 770R, 6/6/6 essay)	ACT (breakdown): 35 (36E, 36S, 33M, 34R)	SAT II: 800 Math II, 800 US History	GPA (out of 4.0): 4.0	Top 10%	Male	Multiracial	Income Bracket: Upper Middle Class	Public
